"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"47","Carlos Hyde (FA)","172","571","3.3","22","1","5","10","16","33","3.3","0","1","14","93.4","6.7","0.0%"
"48","Gus Edwards (BAL)","137","718","5.2","43","6","2","2","2","20","10.0","0","0","11","88.8","8.1","14.6%"
"49","Alfred Blue (FA)","150","499","3.3","17","0","2","20","27","154","7.7","0","0","16","87.3","5.5","0.0%"
"50","Damien Williams (LV)","50","256","5.1","25","3","4","23","24","160","7.0","2","1","16","87.1","5.4","0.1%"
"51","Theo Riddick (FA)","40","171","4.3","19","0","0","61","74","384","6.3","0","0","14","86.0","6.1","0.0%"
"52","Ito Smith (FA)","90","315","3.5","18","0","4","27","32","152","5.6","0","0","14","84.2","6.0","0.0%"
"53","LeGarrette Blount (FA)","154","418","2.7","27","2","5","10","15","67","6.7","0","1","16","81.5","5.1","0.1%"
"54","Josh Adams (FA)","120","511","4.3","29","4","3","7","13","58","8.3","0","1","16","78.4","4.9","0.0%"
"55","Giovani Bernard (FA)","56","211","3.8","23","2","3","35","48","218","6.2","0","0","12","78.4","6.5","0.0%"
"56","Jaylen Samuels (FA)","56","256","4.6","25","1","0","26","29","199","7.7","3","0","14","76.5","5.5","0.0%"
"57","Elijah McGuire (FA)","92","276","3.0","34","2","3","19","31","193","10.2","1","2","8","76.4","9.6","0.0%"
"58","Javorius Allen (FA)","41","110","2.7","17","0","3","35","43","196","5.6","2","1","14","76.1","5.4","0.1%"
"59","Marshawn Lynch (FA)","90","376","4.2","52","4","3","15","20","84","5.6","0","0","6","71.5","11.9","0.3%"
"60","Chris Ivory (FA)","115","385","3.3","21","2","1","13","21","205","15.8","0","0","13","71.5","5.5","0.0%"
